company_id,roe,opm_percentage,net_profit,eps,profit_before_tax,valuation_score,valuation_rating
AMBUJACEM,0.0,16.0,808,5.0,1173,247.2,Strong
AMBUJACEM,0.0,16.0,1434,6.0,2008,435.0,Strong
AMBUJACEM,0.0,16.0,1945,8.0,2768,588.3,Strong
AMBUJACEM,0.0,15.0,2973,11.0,2919,896.4,Strong
AMBUJACEM,0.0,17.0,2783,11.0,3875,840.0,Strong
AMBUJACEM,0.0,20.0,3107,12.0,3992,938.0999999999999,Strong
AMBUJACEM,0.0,21.0,3711,14.0,5164,1119.6,Strong
AMBUJACEM,0.0,13.0,3024,13.0,3729,911.0999999999999,Strong
AMBUJACEM,0.0,19.0,4738,16.0,5901,1427.1,Strong
AMBUJACEM,0.0,18.0,3871,13.0,4856,1166.7,Strong
APOLLOHOSP,0.0,16.0,303,22.0,399,95.69999999999999,Moderate
APOLLOHOSP,0.0,16.0,315,23.0,407,99.3,Moderate
APOLLOHOSP,0.0,14.0,335,24.0,455,104.7,Strong
APOLLOHOSP,0.0,11.0,235,17.0,332,73.8,Moderate
APOLLOHOSP,0.0,10.0,131,16.0,222,42.3,Weak
APOLLOHOSP,0.0,10.0,60,8.0,171,21.0,Weak
APOLLOHOSP,0.0,11.0,200,17.0,373,63.3,Moderate
APOLLOHOSP,0.0,14.0,432,33.0,660,133.79999999999998,Strong
APOLLOHOSP,0.0,11.0,137,10.0,221,44.4,Weak
APOLLOHOSP,0.0,15.0,1108,73.0,1578,336.9,Strong
APOLLOHOSP,0.0,12.0,844,57.0,1144,256.8,Strong
APOLLOHOSP,0.0,13.0,935,63.0,1362,284.4,Strong
APOLLOHOSP,0.0,13.0,1224,82.0,1719,371.09999999999997,Strong
ASIANPAINT,0.0,17.0,1160,12.0,1655,353.1,Strong
ASIANPAINT,0.0,16.0,1263,13.0,1834,383.7,Strong
ASIANPAINT,0.0,16.0,1427,15.0,2077,432.9,Strong
ASIANPAINT,0.0,19.0,1803,18.0,2614,546.6,Strong
ASIANPAINT,0.0,20.0,2016,20.0,2960,610.8,Strong
ASIANPAINT,0.0,19.0,2098,21.0,3138,635.1,Strong
ASIANPAINT,0.0,20.0,2208,22.0,3306,668.4,Strong
ASIANPAINT,0.0,21.0,2774,28.0,3629,838.4999999999999,Strong
ASIANPAINT,0.0,22.0,3207,33.0,4304,968.6999999999999,Strong
ASIANPAINT,0.0,17.0,3085,32.0,4188,930.6,Strong
ASIANPAINT,0.0,18.0,4195,43.0,5689,1263.9,Strong
ASIANPAINT,0.0,21.0,5558,57.0,7348,1673.6999999999998,Strong
ASIANPAINT,0.0,19.0,4631,48.0,6155,1395.0,Strong
ATGL,0.0,27.0,162,6.0,259,56.7,Moderate
ATGL,0.0,26.0,229,2.0,357,76.5,Moderate
ATGL,0.0,32.0,436,4.0,547,140.39999999999998,Strong
ATGL,0.0,42.0,463,4.0,631,151.5,Strong
ATGL,0.0,25.0,509,5.0,684,160.2,Strong
ATGL,0.0,20.0,546,5.0,733,169.79999999999998,Strong
ATGL,0.0,25.0,668,6.0,896,207.9,Strong
ATGL,0.0,24.0,668,6.0,900,207.6,Strong
BAJAJ-AUTO,0.0,18.0,3133,108.0,4277,945.3,Strong
BAJAJ-AUTO,0.0,21.0,3380,117.0,4655,1020.3,Strong
BAJAJ-AUTO,0.0,19.0,3026,105.0,4083,913.5,Strong
BAJAJ-AUTO,0.0,21.0,4061,140.0,5679,1224.6,Strong
BAJAJ-AUTO,0.0,20.0,4079,141.0,5588,1229.7,Strong
BAJAJ-AUTO,0.0,19.0,4219,146.0,5933,1271.4,Strong
BAJAJ-AUTO,0.0,17.0,4928,170.0,6956,1483.4999999999998,Strong
BAJAJ-AUTO,0.0,17.0,5212,180.0,6692,1568.6999999999998,Strong
BAJAJ-AUTO,0.0,18.0,4857,168.0,6241,1462.5,Strong
BAJAJ-AUTO,0.0,16.0,6166,213.0,7652,1854.6,Strong
BAJAJ-AUTO,0.0,18.0,6060,214.0,7842,1823.4,Strong
BAJAJ-AUTO,0.0,20.0,7708,276.0,10040,2318.4,Strong
BAJAJ-AUTO,0.0,19.0,7371,263.0,10135,2216.9999999999995,Strong
AXISBANK,0.0,1353.0,5179,22.0,7553,1959.6,Strong
AXISBANK,0.0,2307.0,6218,26.0,9349,2557.5,Strong
AXISBANK,0.0,3097.0,7358,31.0,11057,3136.5,Strong
AXISBANK,0.0,3466.0,8224,35.0,12394,3507.0,Strong
AXISBANK,0.0,-5715.0,3679,15.0,5468,-610.8,Weak
AXISBANK,0.0,-10277.0,276,1.0,122,-3000.2999999999997,Weak
AXISBANK,0.0,-5447.0,4677,18.0,6974,-231.0,Weak
AXISBANK,0.0,-9859.0,1627,6.0,4904,-2469.6,Weak
AXISBANK,0.0,-2510.0,6588,22.0,8806,1223.3999999999999,Strong
AXISBANK,0.0,3170.0,13025,42.0,17383,4858.5,Strong
AXISBANK,0.0,13857.0,9580,31.0,16906,7031.099999999999,Strong
