company_id,financial_year,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,financial_momentum_score,debt_risk_score,profitability_risk_score,interest_risk_score,efficiency_risk_score,momentum_risk_score,total_risk_score,normalized_risk_score,risk_category,risk_rank,primary_risk_driver
BAJAJHLDNG,2024,13.576787656460263,0.0011613545449517,781.0,0.0261199183560718,2,0,1,0,3,1,5,33.33,Moderate Risk,7,Asset Efficiency Risk
COALINDIA,2024,45.16982956605826,0.0788468512027076,11.237732253454023,0.6018691588785047,-2,0,0,0,2,3,5,33.33,Moderate Risk,7,Financial Momentum Risk
DLF,2024,6.908270142781061,0.1225938982019223,5.966292134831461,0.1088049569147945,1,0,1,0,3,1,5,33.33,Moderate Risk,7,Asset Efficiency Risk
SUNPHARMA,2024,15.094161810671148,0.0514238145350024,54.69747899159664,0.5684929901064378,-1,0,0,0,2,2,4,26.67,Moderate Risk,8,Asset Efficiency Risk
LTIM,2024,22.904386052552702,0.1034568888000799,28.77027027027027,1.289464130119082,-3,0,0,0,1,3,4,26.67,Moderate Risk,8,Financial Momentum Risk
ITC,2024,27.851074395694365,0.0040667319849141,327.9125,0.7723477995509732,-1,0,0,0,2,2,4,26.67,Moderate Risk,8,Asset Efficiency Risk
JINDALSTEL,2024,13.410506363390198,0.3716941962270963,7.884080370942813,0.6400172860847018,1,0,1,0,2,1,4,26.67,Moderate Risk,8,Asset Efficiency Risk
LODHA,2024,8.895758200240426,0.4406663232010991,5.529045643153527,0.2185685834145514,3,0,1,0,3,0,4,26.67,Moderate Risk,8,Asset Efficiency Risk
INFY,2024,29.788006718416632,0.0948635889055336,77.5,1.129760329363329,-2,0,0,0,1,3,4,26.67,Moderate Risk,8,Financial Momentum Risk
HINDUNILVR,2024,20.074973642078955,0.0289741887617634,57.817625458996325,0.7885945801322478,-1,0,0,0,2,2,4,26.67,Moderate Risk,8,Asset Efficiency Risk
ICICIGI,2024,15.7230643179025,0.0028676771814829,159.91071428571428,0.3236083907247109,1,0,0,0,3,1,4,26.67,Moderate Risk,8,Asset Efficiency Risk
ADANIPORTS,2024,15.3548827162833,0.937322369168972,5.703988291255032,0.2283010965905691,3,1,0,0,3,0,4,26.67,Moderate Risk,8,Asset Efficiency Risk
DABUR,2024,18.355969997972835,0.1383539428339752,19.35483870967742,0.8205874569992061,-1,0,0,0,2,2,4,26.67,Moderate Risk,8,Asset Efficiency Risk
APOLLOHOSP,2024,13.480392156862743,0.7688869665513264,5.33184855233853,1.1383944570541151,0,1,1,0,1,1,4,26.67,Moderate Risk,8,Debt Risk
SHREECEM,2024,8.370767521615225,0.0799884074771772,17.511627906976745,0.7348612354521038,0,0,1,0,2,1,4,26.67,Moderate Risk,8,Asset Efficiency Risk
TATACONSUM,2024,7.566793298872766,0.21654107242947,26.25287356321839,0.5454284586965099,0,0,1,0,2,1,4,26.67,Moderate Risk,8,Asset Efficiency Risk
TORNTPHARM,2024,24.15402567094516,0.5866394399066511,9.514124293785311,0.7396070320579111,2,1,0,0,2,1,4,26.67,Moderate Risk,8,Asset Efficiency Risk
TITAN,2024,37.2192057915469,1.653145959757266,8.549273021001616,1.619298190002219,0,2,0,0,1,1,4,26.67,Moderate Risk,8,Debt Risk
ULTRACEMCO,2024,11.629142591485689,0.1893305439330544,13.397727272727272,0.7034733176582636,1,0,1,0,2,1,4,26.67,Moderate Risk,8,Asset Efficiency Risk
ADANIPOWER,2024,48.27674122146251,0.8023177656738903,5.380165289256198,0.5472399439185297,3,1,0,0,2,0,3,20.0,Low Risk,9,Asset Efficiency Risk
CIPLA,2024,15.554557028383137,0.0209316258518684,35.29528985507246,0.7922417237881536,0,0,0,0,2,1,3,20.0,Low Risk,9,Asset Efficiency Risk
BOSCHLTD,2024,20.639920424403183,0.0032327586206896,41.07843137254902,0.9638144626908672,0,0,0,0,2,1,3,20.0,Low Risk,9,Asset Efficiency Risk
DRREDDY,2024,19.74233736816026,0.0708572237559283,46.39181286549707,0.7223053120165034,1,0,0,0,2,1,3,20.0,Low Risk,9,Asset Efficiency Risk
ASIANPAINT,2024,29.677488252883386,0.1321016659547202,37.0,1.187084044011906,-1,0,0,0,1,2,3,20.0,Low Risk,9,Financial Momentum Risk
TATAMOTORS,2024,37.45613415294755,1.2631244259167669,5.962147005808132,1.1851234435931923,4,2,0,0,1,0,3,20.0,Low Risk,9,Debt Risk
SIEMENS,2024,17.698769290877124,0.0181676108614963,51.73333333333333,0.8790861298865568,0,0,0,0,2,1,3,20.0,Low Risk,9,Asset Efficiency Risk
ONGC,2024,16.940398136885513,0.4544486308481917,10.087796743182263,0.8332173339682772,0,0,0,0,2,1,3,20.0,Low Risk,9,Asset Efficiency Risk
GAIL,2024,12.86154006000234,0.2830499889606088,19.908205841446453,1.068088347296268,0,0,1,0,1,1,3,20.0,Low Risk,9,Profitability Risk
HAVELLS,2024,17.067275412917954,0.040687525177924,22.392857142857142,1.4952143489101584,-1,0,0,0,1,2,3,20.0,Low Risk,9,Financial Momentum Risk
BRITANNIA,2024,54.14869322506978,0.5239786856127886,19.3109756097561,1.8484347442680773,2,1,0,0,1,1,3,20.0,Low Risk,9,Debt Risk
EICHERMOT,2024,22.172346910501524,0.0232197284566361,84.88235294117646,0.7153796236210254,0,0,0,0,2,1,3,20.0,Low Risk,9,Asset Efficiency Risk
IOC,2024,23.53162465856491,0.7230954600718581,9.59852810557036,1.6084096601703397,2,1,0,0,1,1,3,20.0,Low Risk,9,Debt Risk
HCLTECH,2024,23.01393141233172,0.0843502336551279,43.75768535262206,1.1101650405025958,-1,0,0,0,1,2,3,20.0,Low Risk,9,Financial Momentum Risk
BPCL,2024,35.511337343822305,0.7218747934157467,10.62472885032538,2.213651947949293,2,1,0,0,0,1,2,13.33,Low Risk,10,Debt Risk
ABB,2024,32.46823465801568,0.0224384968910516,121.08333333333331,1.1263238975544,2,0,0,0,1,1,2,13.33,Low Risk,10,Asset Efficiency Risk
TCS,2024,50.944313673485176,0.0886406082507266,82.6426735218509,1.6559406621205457,2,0,0,0,1,1,2,13.33,Low Risk,10,Asset Efficiency Risk
PIDILITIND,2024,20.780302129178065,0.0454383252051861,53.09803921568628,1.0254223252732693,2,0,0,0,1,1,2,13.33,Low Risk,10,Asset Efficiency Risk
HEROMOTOCO,2024,21.14243742584327,0.0342392225549466,47.24818577648767,1.4449202768324858,0,0,0,0,1,1,2,13.33,Low Risk,10,Asset Efficiency Risk
MARUTI,2024,15.750385351954783,0.0013896025036199,96.01030927835052,1.230295566502463,2,0,0,0,1,1,2,13.33,Low Risk,10,Asset Efficiency Risk
HAL,2024,3816.582914572864,0.6180904522613065,226.7209302325581,67.51333333333334,0,1,0,0,0,1,2,13.33,Low Risk,10,Debt Risk
BAJAJ-AUTO,2024,26.61418410330778,0.0660175402251225,146.08333333333334,1.1404534363562424,1,0,0,0,1,1,2,13.33,Low Risk,10,Asset Efficiency Risk
DMART,2024,13.56294790886726,0.0316611402289014,70.79310344827586,2.398875873795579,1,0,1,0,0,1,2,13.33,Low Risk,10,Profitability Risk
LT,2024,77.66510140873214,0.1034568888000799,3.139718250630782,8.027628521638107,2,0,0,1,0,1,2,13.33,Low Risk,10,Interest Coverage Risk
INDIGO,2024,892.568306010929,0.0185792349726775,22.60232158211522,56.38625204582652,1,0,0,0,0,1,1,6.67,Low Risk,11,Financial Momentum Risk
BEL,2024,4744.047619047619,0.5119047619047619,420.9166666666667,125.88819875776396,3,1,0,0,0,0,1,6.67,Low Risk,11,Debt Risk
NESTLEIND,2024,117.75449101796409,0.1032934131736526,40.08965517241379,2.318160220469448,1,0,0,0,0,1,1,6.67,Low Risk,11,Financial Momentum Risk
TRENT,2024,36.30776794493609,0.4309242871189774,5.355978260869565,1.727869310248534,4,0,0,0,1,0,1,6.67,Low Risk,11,Asset Efficiency Risk
