company_id,year,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,dividend_payout_ratio,return_on_equity_pct_score,interest_coverage_score,asset_turnover_score,dividend_payout_ratio_score,debt_to_equity_score,overall_score,company_rank
INDIGO,Mar 2013,17886.363636363636,2.5,28.2027027027027,353.96153846153845,8.89453621346887,100.0,49.77799127178883,100.0,28.644930884448033,99.24833241153522,75.53425091355442,1.0
INDIGO,Mar 2014,10772.727272727272,3.1818181818181817,27.324808184143222,317.62857142857143,16.877637130801688,62.52136850123689,49.76883986431922,89.73533475109049,28.85660401483186,99.04333216013573,65.98509585832284,2.0
BEL,Mar 2015,17100.0,3.7142857142857135,168.42857142857142,144.75510204081633,1.670843776106934,95.85699472889073,51.23974326517848,40.8957150175076,28.453393584972524,98.88323672570947,63.06581666445176,3.0
BEL,Mar 2013,15183.333333333334,4.0,95.57142857142856,139.4,2.1953896816684964,85.75891829738161,50.48026090452859,39.38280995327611,28.46730199913514,98.79733185845635,60.577324602555564,4.0
BEL,Mar 2014,13600.0,3.0,132.14285714285714,141.69565217391303,2.100840336134454,77.41702907135233,50.86149126595285,40.03136973293208,28.464795008912652,99.09799889384226,59.17453679459843,5.0
BEL,Mar 2016,11141.666666666668,2.083333333333333,139.3,141.42307692307693,2.318623784592371,64.46514843093846,50.936099239028465,39.95436270781268,28.470569570046,99.37361034294602,56.63995805815432,6.0
INDIGO,Mar 2015,4939.39393939394,0.1515151515151515,30.43544303797468,228.27868852459017,6.365030674846625,31.78809240533956,49.80126595473756,64.49251224208784,28.57786066183305,99.9544443885779,54.92283513051518,7.0
BEL,Mar 2017,10153.333333333334,1.9333333333333331,99.55555555555556,112.41558441558442,2.1667760998030205,59.25805336669071,50.52179251074279,31.759265400469356,28.466543305676588,99.4187103982539,53.884872996366674,8.0
TATACONSUM,Mar 2016,-0.5922842964623019,0.2167440371378261,3.128205128205128,0.6707427993936331,2700.0,5.761470601464182,49.51660799674977,0.18949595549532175,100.0,99.9348322129162,51.0804813533251,9.0
BEL,Mar 2024,4744.047619047619,0.5119047619047619,420.9166666666667,125.88819875776396,1.0037641154328731,30.758898280050236,53.87174675979013,35.5655022025629,28.435705866697074,99.84608711283816,49.69558804438769,10.0
BEL,Mar 2023,3981.333333333333,0.52,215.26315789473685,123.15277777777776,1.4735432016075016,26.74049107002584,51.727959531895515,34.79270044792157,28.44816213034565,99.84365314159933,48.31059326435758,11.0
HAL,Mar 2022,3324.183006535948,0.0784313725490196,83.38461538461539,121.88118811881188,0.5112072355485646,23.278254082030443,50.35322230151793,34.43345529815396,28.42264564639711,99.97641827173445,47.29279911996677,12.0
BEL,Mar 2018,4616.129032258064,1.5483870967741935,339.8333333333333,85.95867768595042,2.375960866526904,30.084951323661596,53.02651238750477,24.28475084032067,28.47208987146093,99.53445104198309,47.08055109298621,13.0
BAJAJ-AUTO,Mar 2018,20.656058751529983,0.0059241126070991,4846.0,1.0027445209021122,0.9717942640436122,5.8734188060597745,100.0,0.28329194331690666,28.434858181243577,99.99821881462513,46.917957549049085,14.0
BAJAJ-AUTO,Mar 2018,20.656058751529983,0.0059241126070991,4846.0,1.0027445209021122,0.9717942640436122,5.8734188060597745,100.0,0.28329194331690666,28.434858181243577,99.99821881462513,46.917957549049085,14.0
BEL,Mar 2020,3318.181818181818,0.8,344.875,106.29508196721312,2.0273972602739727,23.246636451414847,53.07906807046805,30.0301220378957,28.46284765462847,99.75946637169126,46.91562811721966,15.0
BAJAJ-AUTO,Mar 2016,28.96576319543509,0.008416547788873,4793.0,1.3093967517401393,0.9603545924649102,5.917198995936889,99.4475138121547,0.3699262799657027,28.434554856618384,99.99746942152812,46.83333267324076,16.0
BAJAJ-AUTO,Mar 2016,28.96576319543509,0.008416547788873,4793.0,1.3093967517401393,0.9603545924649102,5.917198995936889,99.4475138121547,0.3699262799657027,28.434554856618384,99.99746942152812,46.83333267324076,16.0
BEL,Mar 2019,3851.020408163265,0.9591836734693876,181.8125,96.53968253968254,2.3317435082140965,26.053929394348863,51.37926091942041,27.274060045982246,28.470917441505666,99.7116050885074,46.577954577952916,17.0
