company_id,composite_score,financial_momentum_score,trend_classification,normalized_risk_score,risk_category,primary_risk_driver,quality_score_100,momentum_score_100,safety_score_100,final_investment_score,recommendation,recommendation_confidence,confidence_level,investment_rank
APOLLOHOSP,26.528862896447592,0,Declining,26.67,Moderate Risk,Debt Risk,36.01,42.86,73.33,48.58,Hold,2.84,Low Confidence,41
PNB,19.665955029053567,3,Strong Improvement,40.0,Moderate Risk,Debt Risk,26.6,85.71,60.0,48.44,Hold,3.12,Low Confidence,42
SHREECEM,26.007971703682845,0,Declining,26.67,Moderate Risk,Asset Efficiency Risk,35.3,42.86,73.33,48.22,Hold,3.56,Low Confidence,43
ASIANPAINT,26.363507026209845,-1,Declining,20.0,Low Risk,Financial Momentum Risk,35.78,28.57,80.0,47.6,Hold,4.8,Low Confidence,44
HCLTECH,26.01477125492685,-1,Declining,20.0,Low Risk,Financial Momentum Risk,35.31,28.57,80.0,47.37,Hold,5.26,Low Confidence,45
ITC,28.10527933948204,-1,Declining,26.67,Moderate Risk,Asset Efficiency Risk,38.17,28.57,73.33,46.8,Hold,6.4,Low Confidence,46
DABUR,27.81921775925679,-1,Declining,26.67,Moderate Risk,Asset Efficiency Risk,37.78,28.57,73.33,46.6,Hold,6.8,Low Confidence,47
TITAN,23.47218484649424,0,Declining,26.67,Moderate Risk,Debt Risk,31.82,42.86,73.33,46.48,Hold,7.04,Low Confidence,48
HINDALCO,25.32512565323181,0,Declining,33.33,Moderate Risk,Asset Efficiency Risk,34.36,42.86,66.67,45.75,Hold,8.5,Low Confidence,49
HINDUNILVR,26.484007033949798,-1,Declining,26.67,Moderate Risk,Asset Efficiency Risk,35.95,28.57,73.33,45.69,Hold,8.62,Low Confidence,50
SUNPHARMA,25.837812357236803,-1,Declining,26.67,Moderate Risk,Asset Efficiency Risk,35.06,28.57,73.33,45.24,Hold,9.52,Low Confidence,51
RELIANCE,24.2468040142809,0,Declining,33.33,Moderate Risk,Asset Efficiency Risk,32.88,42.86,66.67,45.01,Hold,9.98,Low Confidence,52
JIOFIN,26.202535756371187,0,Declining,40.0,Moderate Risk,Asset Efficiency Risk,35.56,42.86,60.0,44.35,Hold,11.3,Low Confidence,53
TVSMOTOR,20.05960165243261,2,Improving,46.67,Moderate Risk,Debt Risk,27.14,71.43,53.33,43.86,Hold,12.28,Low Confidence,54
TECHM,30.85032565664247,-2,Strong Decline,33.33,Moderate Risk,Financial Momentum Risk,41.94,14.29,66.67,43.83,Hold,12.34,Low Confidence,55
JSWSTEEL,23.570612470865555,1,Improving,46.67,Moderate Risk,Debt Risk,31.95,57.14,53.33,43.4,Hold,13.2,Low Confidence,56
POWERGRID,23.208192879591845,1,Improving,46.67,Moderate Risk,Asset Efficiency Risk,31.46,57.14,53.33,43.16,Hold,13.68,Low Confidence,57
IRCTC,29.724665400470386,-2,Strong Decline,33.33,Moderate Risk,Financial Momentum Risk,40.39,14.29,66.67,43.05,Hold,13.9,Low Confidence,58
DIVISLAB,32.12732339067209,-2,Strong Decline,40.0,Moderate Risk,Financial Momentum Risk,43.69,14.29,60.0,42.7,Hold,14.6,Low Confidence,59
INFY,26.114845944457013,-2,Strong Decline,26.67,Moderate Risk,Financial Momentum Risk,35.44,14.29,73.33,42.58,Hold,14.84,Low Confidence,60
M&M,22.63967373453169,0,Declining,40.0,Moderate Risk,Debt Risk,30.68,42.86,60.0,41.91,Hold,16.18,Low Confidence,61
TATAPOWER,22.75624296193692,1,Improving,53.33,High Risk,Asset Efficiency Risk,30.84,57.14,46.67,40.85,Hold,18.3,Low Confidence,62
COALINDIA,25.44209971040043,-2,Strong Decline,33.33,Moderate Risk,Financial Momentum Risk,34.52,14.29,66.67,40.12,Hold,19.76,Low Confidence,63
LTIM,26.20375286136364,-3,Strong Decline,26.67,Moderate Risk,Financial Momentum Risk,35.56,0.0,73.33,39.78,Avoid,20.44,Low Confidence,64
LICI,27.30516858241988,-2,Strong Decline,40.0,Moderate Risk,Asset Efficiency Risk,37.08,14.29,60.0,39.4,Avoid,21.2,Low Confidence,65
BHEL,34.48358109849353,-1,Declining,66.67,High Risk,Interest Coverage Risk,46.92,28.57,33.33,39.17,Avoid,21.66,Low Confidence,66
NHPC,24.950840554588677,-1,Declining,46.67,Moderate Risk,Asset Efficiency Risk,33.85,28.57,53.33,38.64,Avoid,22.72,Low Confidence,67
